"stimulus","rt","response","type_of_trial","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","prolific_id","prolific_id_man","view_history","percent","estimate","distance","buyin","bet","result","cons","outcome_valence","error","manip_check","truth_bn","truth_lk","minimum","report","truth","question_order","wallet","success","earnings","bonus","low_thresholds","age","gender","race_ethnicity","income","education","ses","party","politics","religiosity","understand","confusing","annoying","issues","other_feedback"
"
    <p style=""text-align:left;"">
        You are being asked to participate in a research study titled ""Truth in Games."" 
        You were selected to participate in this project because you are an adult over age 18. 
        This study is sponsored by Boston College and the John Templeton Foundation.
    </p>
    <p style=""text-align: left;"">
        The purpose of this study is to understand how we weigh information what other people say. 
        This study will be conducted through this online survey. 
        The survey should take you about <span style=""font-weight: bold;"">16 minutes</span> to complete. 
        There are no direct benefits to you, 
        but you may feel gratified knowing that you helped further the scholarly work in this research area, 
        and you will be compensated <span style=""font-weight: bold;"">$3.00</span> (with up to <span style=""font-weight: bold;"">$1.98 bonus available</span> as well) for your participation. 
        There are no costs to you associated with your participation.
    </p>
    <p style=""text-align: left;"">
        The researchers do not believe participation would entail any risks or discomforts beyond those ordinarily encountered in everyday life.
    </p>
    <p style=""text-align: left;"">
        This Principal Investigator, Dr. Liane Young, will exert all reasonable efforts to keep your responses and your identity confidential. 
        We will not maintain within our research data any information that uniquely identifies you, such as your name, location, or Internet Protocol (IP) address. 
        In any report we publish, we will not include any information that will make it possible to identify a participant. 
        Data collected from the experiment will be coded to remove your name and any other personal identifiers. 
        All records will be secured in a locked cabinet in our lab. 
        The Institutional Review Board at Boston College and internal Boston College auditors may review the research records. 
        State or federal laws or court orders may also require that information from research study records be released. 
        Otherwise, the researchers will not release to others any information that could indicate your identity unless you give your permission, 
        or unless the researchers become legally required to do so.
    </p>
    <p style=""text-align: left;"">
        Although the survey will not prompt you directly to identify yourself by name, email address or the like, 
        the survey will include several items that would prompt you to provide certain demographic information, 
        such as your age, gender, ethnicity, education level and the like. 
        In combination, responses to such questions could suggest your identity. 
        Regardless, please know that the researchers will make no purposeful effort to discern your identity based on such information. 
        Additionally, please note that you may opt to leave any such questions blank.
    </p>
    <p style=""text-align: left;"">
        Your participation is voluntary. If you choose not to participate it will not affect your relations with Boston College. 
        Some questions on the survey, such as comprehension questions, may be required in order to complete the survey and receive compensation. 
        However, you may still choose to end your participation in the study at any time. 
        If you have questions or concerns concerning this research you may contact the Principal Investigator at 
        <a href=""tel:16175520240"">+1 (617) 552-0240</a> or <a href=""mailto:liane.young@bc.edu"">liane.young@bc.edu</a>. 
        If you have questions about your rights as a research participant, you may contact the Office for Research Protections, Boston College, at 
        <a href=""tel:16175524778"">+1 (617) 552-4778</a> or <a href=""mailto:irb@bc.edu"">irb@bc.edu</a>.
    </p>
    <p style=""text-align: left;"">
        If you agree to the statements above and agree to participate in this study, please select the ""Consent given"" button below to continue.
    </p>
","555","1","consent","html-button-response","0","2","0.0-0.0","a77jtbupmc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2757","{""prolific_id"":""stream think equal bit travel""}","prolific","survey-text","1","2","0.0-1.0","a77jtbupmc","","stream think equal bit travel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","28032","","instructions","instructions","2","3","0.0-2.0","a77jtbupmc","","","[{""page_index"":0,""viewing_time"":3602},{""page_index"":1,""viewing_time"":3321},{""page_index"":2,""viewing_time"":3183},{""page_index"":1,""viewing_time"":3295},{""page_index"":2,""viewing_time"":3111},{""page_index"":1,""viewing_time"":2961},{""page_index"":2,""viewing_time"":2174},{""page_index"":3,""viewing_time"":3201},{""page_index"":4,""viewing_time"":3184}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Press the space bar to see the first wheel.","682"," ","begin_reporter","html-keyboard-response","3","3","0.0-3.0","a77jtbupmc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"
        <div style=""font-size: 30px;"">
            +
            <br>
            <br>
            <br>
            <br>
            <br>
            <br>
        </div>
    ","null","null","fixation","html-keyboard-response","4","3","0.0-4.0-0.0","a77jtbupmc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"
        <div id=""wheel"" class=""has-pin"" style=""background-image: conic-gradient(lightgreen 58%, black 0);""><div id=""pin""></div></div>
        <div>
            <br>
            <br>
            <br>
            <br>
            <br>
        </div>
    ","957"," ","show_wheel","html-keyboard-response","5","3","0.0-4.0-1.0","a77jtbupmc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","6178","{""estimate"":""25""}","estimate_wheel_prac","survey-html-form","6","6205","0.0-4.0-2.0","a77jtbupmc","","","","58","25","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"
        <div id=""wheel"" class=""has-pin"" style=""background-image: conic-gradient(lightgreen 58%, black 0);""><div id=""pin""></div></div>
        <div>
            <br>
            <strong>Exact chance of winning:</strong> 58%
            <br>
            <strong>Your Estimate:</strong> 25% (33 away)
            <br>
            <br>
            Press space to see the next wheel.
        </div>
    ","549"," ","reporter_feedback","html-keyboard-response","7","6206","0.0-4.0-3.0","a77jtbupmc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"
        <div style=""font-size: 30px;"">
            +
            <br>
            <br>
            <br>
            <br>
            <br>
            <br>
        </div>
    ","null","null","fixation","html-keyboard-response","8","6209","0.0-4.0-0.1","a77jtbupmc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"
        <div id=""wheel"" class=""has-pin"" style=""background-image: conic-gradient(lightgreen 46%, black 0);""><div id=""pin""></div></div>
        <div>
            <br>
            <br>
            <br>
            <br>
            <br>
        </div>
    ","529"," ","show_wheel","html-keyboard-response","9","6209","0.0-4.0-1.1","a77jtbupmc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
